Potion of Poison Shielding
Potion of Silvered Tongue
Potion of Shadow Tendrils
Potion of Misty Steps
Potion of Cosmic Insight
Potion of Shifting Alignments
Potion of Quicksilver Defense
Potion of Radiant Blessing
Potion of Sunlight Radiance
Potion of Minty Levitation
Potion of Plant Speech
Potion of Shadow's Embrace
Potion of Barkskin
Potion of Darkvision
Potion of Buoyancy
Potion of Heartfelt Charm
Potion of Sweet Fortune
Potion of Bardic Inspiration
Potion of Aquatic Breathing
Potion of Arcane Fortitude
Potion of Disease Immunity
Potion of Irresistible Charm
Potion of Breathlessness
Potion of Truesight
Potion of Lavender Recovery
Potion of Unyielding Stance
Potion of Poison Immunity
Potion of Restorative Loss
Potion of Spell Evasion
Potion of Fog Cloud
Potion of Cold Immunity
Potion of Second Chances
Potion of Tongues
Potion of Restraining Strikes
Potion of Clear Perception
Potion of Prestidigitation
Potion of Jeweler's Insight
Potion of Fire Infusion
Potion of Tree Stride
Potion of Draconic Breath
Potion of Condition Immunity
Potion of Bursting Dancing Lights
Potion of Alertness
Potion of Temporal Defense
Potion of Spiderclimb
Potion of Peaceful Influence
Potion of Greedy Protection
Potion of Rune-Infused Protection
Potion of Feykind Charisma
Potion of Flight
Potion of Ice Barrier
Potion of Intense Moonbeam
Potion of Fey and Flora Lore
Potion of Flame Dragon
Potion of Chromatic Protection
Potion of Sobriety
Potion of Renewed Vitality
Potion of Burrowing
Potion of Avian Speech
Potion of Spider Swarm
Potion of Blink
Potion of Short-Range Teleportation
Potion of Mushrooms
Potion of Entangling Vines
Potion of Nimble Fingers
Potion of the Bowmaster
Potion of Snowform
Potion of Swarmform
Potion of the Four-Leaf Clover
Potion of Seafoam Shape
Potion of Keen Hearing
Potion of Flaming Fists
Potion of Candlelight
Potion of Forestwalking
Potion of Phoenix Rebirth
Potion of Scrying
Potion of Puddleform
Potion of Raven Familiar
Potion of Contagion
Potion of Terrainsight
Potion of Sylvan Mislead
Potion of Sweet Relief
Potion of Flame Tendrils
Potion of Divine Power
Potion of Lightning Arc
Potion of Cat's Agility
Potion of Arcane Eye
Potion of Firefish
Potion of Heroes' Feast
Potion of Pack Tactics
Potion of Spell Slot Restoration
Potion of Greater Restoration
Potion of Radiant Infusion
Potion of Steady Sailor
Potion of Poison Resistance and Detection
Potion of Aid
Potion of Limit Breaking
Potion of Fiendish Tongues
Potion of Critical Manipulation
Potion of Borrowed Power
